RIC,Description,Currency,Type/Sub Type,Exchange,Comment
1518.T,MITSUI MATSUSHIM ORD,JPY,EQTY,TSE,三井松島産業
1540.T,JP PHY GOLD ETF,JPY,EQTY,TSE,純金上場信託（現物国内保管型）
1541.T,JP PHY PLATINUM ETF,JPY,EQTY,TSE,純プラチナ上場信託（現物国内保管型）
1542.T,JP PHY SILVER ETF,JPY,EQTY,TSE,純銀上場信託（現物国内保管型）
1543.T,JP PHY PALLADIUM ETF,JPY,EQTY,TSE,純パラジウム上場信託（現物国内保管型）
1545.T,NF NASDAQ-100 ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００連動型上場投信
1546.T,NF DOW JONES IND ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価連動型上場投信
1547.T,S&P500 US EQUITY ETF,JPY,EQTY,TSE,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）
1549.T,NIKO NIFTY50 FUT ETF,JPY,EQTY,TSE,上場インデックスファンドＮｉｆｔｙ５０先物（インド株式）
1550.T,MXS GLOBAL EQTY ETF,JPY,EQTY,TSE,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信
1551.T,JASDAQ-TOP20 ETF,JPY,EQTY,TSE,ＪＡＳＤＡＱ－ＴＯＰ２０上場投信
1552.T,S&P500 VIX SHORT ETF,JPY,EQTY,TSE,国際のＥＴＦ　ＶＩＸ短期先物指数
1554.T,MSCI ACWI EX JP ETF,JPY,EQTY,TSE,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本
1555.T,S&P ASX200 A-REIT,JPY,EQTY,TSE,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ‐ＲＥＩＴ）
1557.T,SPDR S&P 500 ETF,JPY,EQTY,TSE,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ
1559.T,NF THAI SET50 ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信
1560.T,NF FTSE BM KLCI ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信
1561.T,S&P500 VIX MID ETF,JPY,EQTY,TSE,国際のＥＴＦ　ＶＩＸ中期先物指数
1563.T,MOTHERS CORE ETF,JPY,EQTY,TSE,マザーズ・コア上場投信
1566.T,EMERGIN BOND ETF,JPY,EQTY,TSE,上場インデックスファンド新興国債券
1567.T,MXS TPX RISK ETF,JPY,EQTY,TSE,ＭＡＸＩＳトピックスリスクコントロール（５％）上場投信
1568.T,TOPIX BULL 2X ETF,JPY,EQTY,TSE,ＴＯＰＩＸブル２倍上場投信
1569.T,TOPIX BEAR -1X ETF,JPY,EQTY,TSE,ＴＯＰＩＸベア上場投信
1570.T,NEXT FUNDS N225 LEVERAGED ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信
1571.T,NEXT FUNDS N225 INVERSE ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信
1572.T,CHINA BULL 2X H ETF,JPY,EQTY,TSE,中国Ｈ株ブル２倍上場投信
1573.T,CHINA BEAR -1X H ETF,JPY,EQTY,TSE,中国Ｈ株ベア上場投信
1574.T,MXS TPX RISK 10% ETF,JPY,EQTY,TSE,ＭＡＸＩＳトピックスリスクコントロール（１０％）上場投信
1575.T,CSI 300 ETF,JPY,EQTY,TSE,ＣｈｉｎａＡＭＣ　ＣＳＩ　３００　Ｉｎｄｅｘ　ＥＴＦ－ＪＤＲ
1576.T,CSOP FTSE CHINA A50 ETF,JPY,EQTY,TSE,南方　ＦＴＳＥ　中国Ａ株５０　ＥＴＦ
1577.T,NF JP HI DIV 70 ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信
1578.T,LIF N225 (MINI) ETF,JPY,EQTY,TSE,上場インデックスファンド日経２２５（ミニ）
1579.T,N225 BULL 2X ETF,JPY,EQTY,TSE,日経平均ブル２倍上場投信
1580.T,N225 BEAR -1X ETF,JPY,EQTY,TSE,日経平均ベア上場投信
1584.T,KODEX SAMSUNG ETF,JPY,EQTY,TSE,サムスンＫＯＤＥＸサムスングループ株証券上場指数投資信託［株式］
1585.T,DAIWA TPX EX-FIN ETF,JPY,EQTY,TSE,ダイワ上場投信・ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ
1586.T,LIF TOPIX EX-FIN ETF,JPY,EQTY,TSE,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ
1591.T,NF JPX-NK400 ETF,JPY,EQTY,TSE,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信
1592.T,LIF JPX-NK400 ETF,JPY,EQTY,TSE,上場インデックスファンドＪＰＸ日経インデックス４００
1593.T,MAXIS JPX-NK400 ETF,JPY,EQTY,TSE,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信
1595.T,NZAM J-REIT INDX ETF,JPY,EQTY,TSE,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数
1596.T,NZAM TOPIX EX-F ETF,JPY,EQTY,TSE,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ
1597.T,MAXIS J-REIT ETF,JPY,EQTY,TSE,ＭＡＸＩＳ　Ｊリート上場投信
